model,language,file_id,file_bucket,dataset_origin_label,model_category,timestamp,excerpt,translation,model_confidence,logprob_derived_confidence,entropy_mean,fp_type,fp_reason,evidence_transcript_quote,fp_exception_matched,related_gt_flag_index,transcript_reliability,classifier_confidence,prompt_hash
e2b_thinking,hindi,rec_audio_call_423629370_audio_1788714233340.mp3,FN,FP,Explicit-Flirting,0s,ओए आप जैसी अच्छी अच्छी लड़कियों की प्यारी प्यारी लड़कियों की शादी को उम्र में कर देती हैं ना तो हम जैसी बाद में बैठे रहते हैं तब हम लोगों में दिमाग नहीं रहता था बॉस से चूतियों का भला हो जाता,"Hey, you get married in your age to good girls, sweet girls, right? Then we who are left behind, we don't have brains. Bosses get to do whatever they want.",0.4,1.0,0.21,OVER_SENSITIVITY,"The quote is a general complaint about life and marriage, not a sexual or suggestive remark.",ओए आप जैसी अच्छी अच्छी लड़कियों की प्यारी प्यारी लड़कियों की शादी को उम्र में कर देती हैं ना तो हम जैसी बाद में बैठे रहते हैं तब हम लोगों में दिमाग नहीं रहता था बॉस से चूतियों का भला हो जाता,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_423629370_audio_1788714233340.mp3,FN,FP,PlatformMove,09:56,आप मुझे नंबर दे दोगी तो मैं आपको अब अपना बना लूंगा ना,"If you give me the number, I will make you mine now, right?",0.98,1.0,0.14,MATCHER_MISS,The model correctly identified a PlatformMove violation that the ground truth missed.,आप मुझे नंबर दे दोगी तो मैं आपको अब अपना बना लूंगा ना,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_424798751_audio_1788818609448.mp3,TP,TP,PlatformMove,01:24,WhatsApp pe hai,It is on WhatsApp.,0.95,1.0,0.36,DUPLICATE_OR_EXTRA_INSTANCE,This is a duplicate of the PlatformMove violation already captured by the ground truth.,WhatsApp pe hai,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425051281_audio_1788851621695.mp3,TP,TP,SuspiciousActivity,02:45,मी व्हिडिओ कॉल सर्विस देतेय. आणि कॉन्टॅक्ट नंबर वर म्हणजे हे WhatsApp ला,"I give video call service. And on the contact number, that means WhatsApp",,0.68,0.11,DUPLICATE_OR_EXTRA_INSTANCE,This is a duplicate of the PlatformMove violation already captured by the ground truth.,मी व्हिडिओ कॉल सर्विस देतेय. आणि कॉन्टॅक्ट नंबर वर म्हणजे हे WhatsApp ला,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425051281_audio_1788851621695.mp3,TP,TP,SuspiciousActivity,05:13,तु जे तिडला इथे रिचार्जпля पैसे काकतो तू एवढै तिकडे मला टाकून देय,"Why don't you recharge/pay money here, you put it over there for me?",0.9,1.0,0.43,DUPLICATE_OR_EXTRA_INSTANCE,This is a duplicate of the SuspiciousActivity violation already captured by the ground truth.,तु जे तिडला इथे रिचार्जпля पैसे काकतो तू एवढै तिकडे मला टाकून देय,,3,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425051281_audio_1788851621695.mp3,TP,TP,PlatformMove,05:20,Paytm,Paytm,0.75,0.57,0.67,DUPLICATE_OR_EXTRA_INSTANCE,The flag is a duplicate instance of the payment discussion already covered by existing ground-truth flags.,पेमेंट,,3,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425656431_audio_1788896027178.mp3,FN,FP,PlatformMove,00:45,और कोई एक का दाल-धूल भी देखते WhatsApp पे,and let's see someone's dal-dool on WhatsApp,0.95,1.0,0.16,MATCHER_MISS,"The model correctly identified a PlatformMove instance that the ground truth failed to match, which is a scoring artifact.",और कोई एक का दाल-धूल भी देखते WhatsApp पे,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425730841_audio_1788903925979.mp3,FN,TP,Explicit-Flirting,00:35,Hum special service dete hain full body ka,We give a special service for the full body,0.95,1.0,0.16,MATCHER_MISS,"The model identified the same utterance as the ground truth, which was incorrectly marked as unmatched.",Hum special service dete hain full body ka,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,Explicit-Flirting,03:16,आपने कविता को क्या बोलते हैं सिक्स पिया है?,What do you call poetry? Six piya hai?,0.4,1.0,0.24,MISHEARING,"The model misheard the word 'sex' as 'six', creating a distortion of the actual spoken content.",आपने कभी तक क्या बोलते हैं सेक्स किया है,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,Explicit-Flirting,04:17,tumra man hota hai karne ka bahut aur koi ladke mast se patti nahi hai,"Your mind wants to do it a lot, and no other boy is as good as me",0.9,1.0,0.37,DUPLICATE_OR_EXTRA_INSTANCE,The flag is a duplicate instance of the explicit sexual content already captured by the ground truth.,क्या सच बात बताऊं मेरा बहुत बड़ा है,,1,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,Explicit-Flirting,04:24,mai muth bhi maarta hu to bhi nahi dete,"I also fuck/masturbate, but they don't give it",0.95,0.85,0.69,GT_MISS,The model correctly identified an explicit sexual remark that was missed by the ground truth.,मैं मुठ भी मारता हूं तो भी नहीं गिरता मेरा दो-तीन घंटे से पहले,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,Explicit-Flirting,05:08,bina konnang ke chudwaoge mujhse,will you fuck me without [specific term/context],0.45,1.0,0.16,MATCHER_MISS,The model correctly identified a violation that was already flagged in ground truth but failed to match due to a scoring error.,हिंदी छोड़ो पहले दो भी फिर बिना कंडोम के बताओ,,2,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,SuspiciousActivity,06:19,बदले में मैं दो घंटे तक बिना रुके चुदाई करूँगा ना और लूंगा आपकी।,"In return, I will do sex for two hours without stopping and take yours.",,1.0,0.12,DUPLICATE_OR_EXTRA_INSTANCE,This instance is a duplicate of an already matched ground-truth flag.,बदले में मैं दो घंटे तक बिना रुके चुदाई करूंगा ना और लूंगा आपकी,,4,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,Explicit-Flirting,06:32,mera lamba bahut hai na aur mota hai hai. to kya main muth bhi maarta hoon na to bina do teen ghante ke nahi nikalta.,"my length is very much and i am fat/thick. so do i also masturbate, right, so it doesn't come out without two or three hours.",0.95,1.0,0.1,GT_MISS,The model identified an explicit sexual remark that was missed by the ground truth.,तो क्या मुठ भी मारता हूं ना तो बिना दो-तीन घंटे के लिए नहीं निकलता,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425744236_audio_1788906883727.mp3,TP,TP,Explicit-Flirting,07:56,उससे लड़कियां और पूरी हो जाती है ना,"With him, girls get satisfied, right?",0.45,1.0,0.24,GT_MISS,The model identified an explicit sexual remark that was missed by the ground truth.,उससे लड़कियां और गोरी हो जाती है ना,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425749256_audio_1788908432017.mp3,TP,TP,Explicit-Flirting,00:00,हेलो बेबी,Hello baby,0.45,1.0,0.0,OVER_SENSITIVITY,The phrase 'Hello baby' is a common greeting and does not constitute a policy violation.,हेलो बेबी,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_425933838_audio_1788934868635.mp3,FN,TP,PlatformMove,01:52,कैन मुझे एक नंबर दो ना अपना?,Can you give me your number?,0.95,1.0,0.25,MATCHER_MISS,The model correctly identified a PlatformMove violation that was missed by the ground truth.,नंबर दो ना अपना,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426101059_audio_1788947560284.mp3,FP,FN,Explicit-Flirting,01:13,ये ऐसा लग रहा है मुझे आपके बात करके मुझे शर्म मतलब दूर करना है मुझे आपसे खिल जाएंगे।,"It seems to me that by talking to you, I have to remove my shyness, I will get into trouble/be naughty with you.",0.45,1.0,0.13,OVER_SENSITIVITY,The quote is a personal reflection on shyness and does not reach the threshold for Explicit-Flirting.,आपसे बात करके मुझे शर्म मतलब दूर करना है मुझे,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426101059_audio_1788947560284.mp3,FP,FN,Explicit-Flirting,02:48,ये बताओ कहाँ पे जाके मसाज पालज हूँ? इस पे जाके हो जाएगा शर्म दूर।,Tell me where should I go for massage/pleasure? Going there will remove shyness.,0.4,1.0,0.18,OVER_SENSITIVITY,The quote is a confused inquiry about overcoming shyness and does not constitute a policy violation.,ये बताओ कहाँ पे जाके मसाज पालज हूँ? इस पे जाके हो जाएगा शर्म दूर।,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426127774_audio_1788949477698.mp3,FN,FN,Explicit-Flirting,01:52,अरे तो सही लड़कियों को सिर्फ कार्ड गंदी वर्ड यूज करेगा बजरंगबली और शनिदेव की काली दृष्टि ऐसे ही तेरी जिंदगी की झंडवा कर देगी,"Hey, only girls will use dirty words, Bajrangbali and Shani Dev's black gaze will mess up your life like this.",0.4,1.0,0.2,OVER_SENSITIVITY,The quote is part of a heated argument and does not contain sexual or suggestive content.,लड़कियों के साथ गंदी वर्ड यूज़ करेगा बजरंगबली और शनिदेव की काली दृष्टि ऐसे ही तेरी जिंदगी झंडवा कर देगा,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426127774_audio_1788949477698.mp3,FN,FN,SuspiciousActivity,02:35,aur nai ghoos paaya toh batao hum ghosale do teen lakh,"and if you haven't entered, tell us we will give you two or three lakh",0.95,1.0,0.0,OVER_SENSITIVITY,The statement is part of an abusive argument and does not constitute a transactional offer for sexual services.,अगर नहीं घुस पाए तो बताओ हम घुसा देंगे दो-तीन दिन एक साथ,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426194933_audio_1788954682604.mp3,TP,FN,Explicit-Flirting,01:52,अच्छा तुम मैं आपके बन सकती हूं नो डाउट,"Okay, you can be mine, no doubt",0.45,1.0,0.15,OVER_SENSITIVITY,The quote is mild romantic talk which is permitted on the platform.,हां दोस्त है तो मैं आपकी बन सकती हूं नो डाउट,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426202468_audio_1788955343920.mp3,FP,FN,Explicit-Flirting,00:28,"बस बढ़िया है, छू तेरे मालिक","Just good, touch your master/owner",0.45,1.0,0.17,MISHEARING,The model misinterpreted a common idiomatic expression of gratitude as a sexual remark.,बस बढ़िया है शुक्र है मालिक,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426204463_audio_1788955521517.mp3,FP,FN,Explicit-Flirting,03:03,hard kaisi baat karo yaar,"How are you talking hard/intensely, friend?",0.4,1.0,0.0,OVER_SENSITIVITY,The quote is a general comment on the conversation style and does not contain sexual undertones.,अच्छी तो कर रही हूं और कैसी बात कर रही हूं यार,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426409268_audio_1788973959169.mp3,TP,TP,Explicit-Flirting,01:03,i am doing masterbed to you,I am doing masterbed to you,0.45,1.0,0.21,DUPLICATE_OR_EXTRA_INSTANCE,This is a duplicate instance of the violation already captured by the ground truth flag.,आई एम स्लीपिंग आई एम डूइंग मास्टर बट यू,,0,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426596251_audio_1788984756063.mp3,TP,TP,SuspiciousActivity,00:48,क्या चार्ज लेते हैं?,What charges do you take?,,0.88,0.29,DUPLICATE_OR_EXTRA_INSTANCE,This flag is a duplicate of an already matched ground-truth flag.,क्या चार्ज लेते हैं?,,1,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426848943_audio_1789020668404.mp3,FP,FN,SuspiciousActivity,00:00,सेक्स कराओगे,Will you do sex?,0.95,1.0,0.19,FABRICATION,The quoted content does not appear in the transcript.,,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426849843_audio_1789020732404.mp3,FP,FN,PlatformMove,08:59,लेकिन अपना WhatsApp नंबर दे दूँ? WhatsApp नंबर या कॉल करने के,But should I give my WhatsApp number? WhatsApp number or to call...,0.95,1.0,0.1,CONTEXT_CONFUSION,"The quote is a description of a past conversation, not an active attempt to move the current call.",लेकिन अपना व्हाट्सएप नंबर दे दो व्हाट्सएप नंबर या कॉल करने के लिए ताकि मैं खुद तुमको कॉल करके बात करूं,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426849843_audio_1789020732404.mp3,FP,FN,PlatformMove,10:03,और चार पांच तो ऐसे हैं जिनका मेरे इनको मतलब अपना व्हाट्सएप नंबर दे के रखा हूं,and four or five are those whose WhatsApp numbers I have kept,0.95,1.0,0.1,CONTEXT_CONFUSION,"The quote is a general statement about past behavior, not an attempt to move the current conversation.",चार-पांच तो ऐसी है जिनका मेरे जिनको मैंने अपना व्हाट्सएप नंबर देके रखा हूं,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_audio_call_426851772_audio_1789020879921.mp3,TP,FN,PlatformMove,10s,"चलिए अब कॉल कट कर, हां किसी और से बात कर लो ठीक है।","Let's cut the call, yes talk to someone else, okay.",0.95,0.95,0.3,OVER_SENSITIVITY,"The quote does not suggest moving to an external platform, but rather ending the current interaction.",हां किसी और से बातें कर लो ठीक है,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_421956667_audio_1788550846403.mp3,FP,FP,Explicit-Flirting,00:00,शेरा दिखाएंगे अपना,We will show our body/figure,0.35,1.0,0.27,OVER_SENSITIVITY,The quote is a neutral request to show a face and does not reach the threshold for Explicit-Flirting.,चेहरा दिखाएंगे अपना,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_423887482_audio_1788735128862.mp3,TP,FP,SuspiciousActivity,02:27,yaar se karke do aapko daam de sakta hai achha lagta hai comment kar sakte hain,"Friend, I can give you a rate/price, it feels good, you can comment.",0.65,1.0,0.15,MATCHER_MISS,"This is a duplicate instance of a violation already covered by a ground-truth flag. [code override: related_gt_flag_index=2 is not in this file's matched-GT set [1] — DUPLICATE_OR_EXTRA_INSTANCE requires pointing at an ALREADY-matched GT flag, so this is a MATCHER_MISS instead (the content is real ground truth, the scorer just failed to pair it).]",500 500 जो आपको डालना है आप डाल सकते हो अगर अच्छा लगता है तो कंटिन्यू कर सकते हो आप,,2,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_423958539_audio_1788751477018.mp3,TP,FP,Explicit-Flirting,00:00:00-00:00:06,सामने आओ बताओ। एक बार सामने पाओ।,Come in front and tell me. Come in front once.,0.45,1.0,0.15,OVER_SENSITIVITY,"The quote is a request to show a face on a video call, which is not a policy violation.",सामने तो आओ,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_425134890_audio_1788857770816.mp3,TP,TP,Explicit-Flirting,02:20,अपना बब्स निकाल लो ना,Take out your boobs,0.8,1.0,0.26,MATCHER_MISS,"This is a duplicate instance of a violation already covered by a ground-truth flag. [code override: related_gt_flag_index=2 is not in this file's matched-GT set [0] — DUPLICATE_OR_EXTRA_INSTANCE requires pointing at an ALREADY-matched GT flag, so this is a MATCHER_MISS instead (the content is real ground truth, the scorer just failed to pair it).]",अपना बुक्स निकाल लो ना टी-शर्ट के बाहर निकालो ना,,2,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_425396309_audio_1788879180076.mp3,TP,TP,Explicit-Flirting,00:00,Hello baby hi,Hello baby hi,0.45,1.0,0.0,OVER_SENSITIVITY,"The quote is a common greeting and term of endearment, which is allowed on the platform.",हेलो बेबी हाय,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_426107744_audio_1788948040810.mp3,FP,FN,Explicit-Flirting,03:16,लड़कियाँ लड़कियाँ सिखाती हैं कि अपनी आँखें टेढ़ी कैसे करो है ना,"Girls, girls teach how to make your eyes crooked/slanting, right?",0.4,1.0,0.16,OVER_SENSITIVITY,The quote is a general conversational remark that does not meet the threshold for Explicit-Flirting.,लड़कियाँ ही लड़कियां ही सिखाती है कि अपनी आंखें टेढ़ी कैसे करो है ना?,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_426593829_audio_1788984553610.mp3,TP,TP,Explicit-Flirting,01:24,देखने की मनोई,The desire to see,0.4,1.0,0.0,OVER_SENSITIVITY,The quote is mild suggestive talk that does not reach the threshold for a policy violation.,देखने की मन हुई,,,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_426593829_audio_1788984553610.mp3,TP,TP,SuspiciousActivity,02:55,अब तो आजा व्हाट्सएप पे ये खेल हो गया ना मैं दिखाती हूं कितना पैसा चाहिए ऐसे तो देखो मैं 1000 ले लेती हूं तुम बताओ कितना देंगे,"Now come on WhatsApp, this game is over, I'm showing it. How much money do you want? Look, I take 1000, you tell me how much you will give.",0.95,1.0,0.2,DUPLICATE_OR_EXTRA_INSTANCE,This flag covers the same violation already captured by the ground-truth flag at 2:57.,500 में ओपन शो का लेती हूँ और कपल सेक्स लाइफ सेक्स का 1000 लेती हूँ,,2,ok,high,b6d4ec9fe158ef34
e2b_thinking,hindi,rec_default_426610557_audio_1788986010552.mp3,FP,TP,PlatformMove,00:00,Number one is [number]. Number two is [number]. Number three...,Number one is [number]. Number two is [number]. Number three...,0.95,1.0,0.08,FABRICATION,"The model claims the user shared phone numbers, but no such numbers appear in the transcript.",,,,ok,high,b6d4ec9fe158ef34
